participant,village,Distance,Axis,Ethnicity,Gender,Age,Farmer,Hunter,Longhi,Atanga
1,Indombo,52,1,,female,40-59,1,0,0,0
2,Indombo,52,1,Kota,female,60+,1,0,0,0
3,Indombo,52,1,,male,40-59,1,0,0,0
4,Indombo,52,1,Kota,male,40-59,1,1,0,0
5,Indombo,52,1,Kota,male,60+,0,1,1,0
6,Indombo,52,1,Kota,female,60+,1,0,0,0
7,Indombo,52,1,,male,60+,1,1,0,1
8,Minkouala,25,3,Fang,female,40-59,1,0,0,0
9,Minkouala,25,3,Fang,male,60+,1,0,0,0
10,Minkouala,25,3,Fang,male,40-59,0,1,1,1
11,Minkouala,25,3,Fang,female,60+,1,0,1,0
12,Nsiete,27,1,Kota,male,40-59,1,0,0,1
13,Nsiete,27,1,Kota,male,60+,1,0,0,0
14,Nsiete,27,1,Kota,female,60+,1,0,0,0
15,Nsiete,27,1,Kota,female,,1,0,0,1
16,Nsiete,27,1,Kota,male,60+,1,0,1,0
17,Nsiete,27,1,Kota,female,40-59,1,0,0,0
18,Nsiete,27,1,Kota,female,60+,1,0,0,0
19,Nsiete,27,1,,male,60+,1,0,0,0
20,Nsiete,27,1,Kota,male,40-59,0,1,0,0
21,Nsiete,27,1,Kota,female,40-59,1,0,0,0
22,Etakaniabe,15,1,Kota,female,18-39,1,0,0,1
23,Etakaniabe,15,1,,female,40-59,1,0,0,0
24,Etakaniabe,15,1,Kota,female,18-39,1,0,0,1
25,Etakaniabe,15,1,Kota,female,60+,1,0,0,1
26,Etakaniabe,15,1,Kota,male,60+,1,0,0,0
27,Etakaniabe,15,1,Kota,female,60+,1,0,1,0
28,Etakaniabe,15,1,Kota,male,,1,1,0,0
29,Etakaniabe,15,1,Kota,male,60+,1,0,0,0
30,Etakaniabe,15,1,Kota,male,60+,0,1,0,0
31,Etakaniabe,15,1,Kota,male,,1,0,0,1
32,Massaha,52,2,Kota,female,18-39,1,0,0,0
33,Massaha,52,2,Kota,male,40-59,1,1,0,0
34,Massaha,52,2,Kota,female,60+,1,0,1,1
35,Massaha,52,2,Kota,female,18-39,1,0,0,0
36,Massaha,52,2,Kota,female,40-59,1,0,0,0
37,Massaha,52,2,,male,40-59,0,1,1,0
38,Massaha,52,2,Kota,male,60+,1,0,0,0
39,Massaha,52,2,Kota,male,40-59,0,1,0,1
40,Massaha,52,2,Kota,male,18-39,1,0,1,0
41,Massaha,52,2,,female,18-39,1,0,1,0
42,Bombenda,25,2,,female,18-39,1,0,1,0
43,Bombenda,25,2,Kota,male,40-59,0,1,0,1
44,Bombenda,25,2,Kota,male,60+,1,0,0,1
45,Bombenda,25,2,Kota,female,18-39,1,0,1,0
46,Mayela I,10,2,Kota,male,60+,1,0,0,0
47,Mayela I,10,2,,female,60+,1,0,0,0
48,Mayela I,10,2,Kota,male,40-59,1,1,1,1
49,Mayela I,10,2,Kota,female,60+,1,0,0,1
50,Ntenkele,50,3,Fang,female,60+,1,0,1,0
51,Ntenkele,50,3,Fang,female,40-59,1,0,1,0
52,Ntenkele,50,3,Fang,male,60+,1,1,1,1
53,Ntenkele,50,3,Fang,female,40-59,1,0,1,0
54,Ntenkele,50,3,Fang,male,18-39,1,0,1,0
55,Ntenkele,50,3,Fang,male,40-59,1,0,1,0
56,Ntenkele,50,3,,female,40-59,1,0,0,1
57,Ntenkele,50,3,Fang,female,40-59,1,0,0,0
58,Ntenkele,50,3,Fang,male,60+,1,1,0,0
59,Ntenkele,50,3,Fang,male,60+,1,1,1,1
60,Simintang,10,3,Fang,female,40-59,1,0,0,0
61,Simintang,10,3,Fang,female,,1,0,0,1
62,Simintang,10,3,Fang,male,60+,1,0,1,0
63,Simintang,10,3,Fang,male,,1,0,1,0
64,Simintang,10,3,Fang,female,60+,1,0,1,0
65,Simintang,10,3,Fang,male,60+,1,0,1,1
66,Simintang,10,3,Fang,female,40-59,1,0,0,0
